country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,2014,2015,2016,2017,2018,2019
Latvia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,17.132,14.585,13.655,12.448,12.916,12.708
Lebanon,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,31.259,31.932,29.508,29.283,29.441,29.048
Lesotho,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,32.971,32.291,31.603,30.051,28.996,27.797
Liberia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,45.059,56.143,54.767,48.321,50.442,50.632
Libya,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,37.276,37.559,38.4,35.132,36.381,35.986
Liechtenstein,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.272,11.114,11.461,10.116,10.449,10.149
Lithuania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,13.495,11.934,10.896,10.298,10.584,10.469
Luxembourg,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.16,10.628,9.933,9.855,10.154,10.089
"Macau, China",POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,35.079,31.312,29.832,29.125,29.023,28.431
Madagascar,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.265,20.158,19.356,18.003,18.27,17.86
Malawi,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,26.818,27.05,26.043,23.95,23.462,22.332
Malaysia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,17.258,18.16,16.78,16.408,16.437,16.55
Mali,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,56.06,65.91,60.7,61.667,60.591,60.672
Malta,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,13.842,13.572,12.919,12.57,13.111,13.065
Mauritania,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,60.434,71.28,66.237,69.502,66.411,66.547
Mauritius,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,15.368,15.345,15.225,15.17,15.28,15.265
Mexico,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,21.961,22.042,21.213,20.365,20.361,20.108
Moldova,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,16.659,16.336,14.95,13.591,14.118,13.96
Mongolia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,40.99,43.306,45.252,40.471,42.124,42.288
